"lobbyistname","lobbyistlastname","lobbyistfirstname","lobbyistfirmname","lobbyistzip","primarylobbyistid","annuallobbyistregistrationid","billnumber","billinformation","clientname","clientzip","position","reportmonth","reportduedate","fiscalyear","rundate"
"Squire Patton Boggs (US) LLP",,,"Squire Patton Boggs (US) LLP","80202","20185001593","20185001593","HB18-1128","Protections For Consumer Data Privacy","Facebook","20004","Amending 04/01/2018 to 04/30/2018","April","2018-05-15T00:00:00.000","2017-2018","2026-03-13T00:00:00.000"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20205079936","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","March","2021-04-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Martinez, Ana","Martinez","Ana",,"94965","20205048965","20205082726","SB21-190","Protect Personal Data Privacy","Facebook Inc.","94025","Amending 03/23/2021 to 06/30/2021","April","2021-05-17T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20205079971","SB21-132","Digital Communications Regulation","Facebook","78701","Monitoring 03/04/2021 to 06/30/2021","May","2021-06-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Squire Patton Boggs (US) LLP",,,"Squire Patton Boggs (US) LLP","80202","20185001593","20185026897","SB19-100","Unauthorized Disclosure Of Intimate Images Act","Facebook","20004","Amending 03/01/2019 to 03/20/2019","March","2019-04-15T00:00:00.000","2018-2019","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20205079815","SB21-132","Digital Communications Regulation","Facebook","78701","Monitoring 03/04/2021 to 06/30/2021","June","2021-07-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20205079808","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","May","2021-06-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20205079936","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","June","2021-07-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20205079936","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","May","2021-06-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20205079815","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","June","2021-07-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20205079971","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","May","2021-06-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20205079808","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","April","2021-05-17T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20205079936","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","April","2021-05-17T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Squire Patton Boggs (US) LLP",,,"Squire Patton Boggs (US) LLP","80202","20185001593","20185026897","SB19-100","Unauthorized Disclosure Of Intimate Images Act","Facebook","20004","Supporting 05/01/2019 to 05/31/2019","May","2019-06-17T00:00:00.000","2018-2019","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20205079971","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","March","2021-04-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20205079971","SB21-132","Digital Communications Regulation","Facebook","78701","Monitoring 03/04/2021 to 06/30/2021","March","2021-04-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Squire Patton Boggs (US) LLP",,,"Squire Patton Boggs (US) LLP","80202","20185001593","20185001593","HB18-1128","Protections For Consumer Data Privacy","Facebook","20004","Amending 05/01/2018 to 05/31/2018","May","2018-06-15T00:00:00.000","2017-2018","2026-03-13T00:00:00.000"
"Martinez, Ana","Martinez","Ana",,"94965","20205048965","20205082726","SB21-190","Protect Personal Data Privacy","Facebook Inc.","94025","Amending 03/23/2021 to 06/30/2021","May","2021-06-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20205079971","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","April","2021-05-17T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20205079815","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","April","2021-05-17T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20205079936","SB21-132","Digital Communications Regulation","Facebook","78701","Monitoring 03/04/2021 to 06/30/2021","May","2021-06-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20205079808","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","April","2021-05-17T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Sachs, Dan","Sachs","Dan",,"94965","20205048941","20205082735","SB21-190","Protect Personal Data Privacy","Facebook Inc.","94025","Amending 03/23/2021 to 06/30/2021","March","2021-04-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20205079808","SB21-132","Digital Communications Regulation","Facebook","78701","Monitoring 03/04/2021 to 06/30/2021","April","2021-05-17T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20205079971","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","June","2021-07-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20205079815","SB21-132","Digital Communications Regulation","Facebook","78701","Monitoring 03/04/2021 to 06/30/2021","March","2021-04-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20205079936","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","June","2021-07-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20205079971","SB21-132","Digital Communications Regulation","Facebook","78701","Monitoring 03/04/2021 to 06/30/2021","June","2021-07-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Sachs, Dan","Sachs","Dan",,"94965","20205048941","20205082735","SB21-190","Protect Personal Data Privacy","Facebook Inc.","94025","Amending 03/23/2021 to 06/30/2021","April","2021-05-17T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20205079936","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","March","2021-04-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20205079815","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","June","2021-07-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20205079808","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","June","2021-07-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Squire Patton Boggs (US) LLP",,,"Squire Patton Boggs (US) LLP","80202","20185001593","20185001593","HB18-1128","Protections For Consumer Data Privacy","Facebook","20004","Amending 02/01/2018 to 02/28/2018","February","2018-03-15T00:00:00.000","2017-2018","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20205079815","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","May","2021-06-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20205079815","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","March","2021-04-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Sachs, Dan","Sachs","Dan",,"94965","20205048941","20205082735","SB21-190","Protect Personal Data Privacy","Facebook Inc.","94025","Amending 03/23/2021 to 06/30/2021","June","2021-07-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20205079936","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","May","2021-06-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20205079808","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","March","2021-04-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Martinez, Ana","Martinez","Ana",,"94965","20205048965","20205082726","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook Inc.","94025","Monitoring 04/16/2021 to 06/30/2021","May","2021-06-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20205079808","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","March","2021-04-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20205079971","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","March","2021-04-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20205079808","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","May","2021-06-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20205079808","SB21-190","Protect Personal Data Privacy","Facebook","78701","Amending 03/22/2021 to 06/30/2021","June","2021-07-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20205079971","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","April","2021-05-17T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20205079808","SB21-132","Digital Communications Regulation","Facebook","78701","Monitoring 03/04/2021 to 06/30/2021","June","2021-07-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"Sachs, Dan","Sachs","Dan",,"94965","20205048941","20205082735","SB21-190","Protect Personal Data Privacy","Facebook Inc.","94025","Amending 03/23/2021 to 06/30/2021","May","2021-06-15T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20205079815","HB21-1244","Restrictions On Collection And Use Of Biometric Info","Facebook","78701","Monitoring 03/26/2021 to 06/30/2021","April","2021-05-17T00:00:00.000","2020-2021","2026-03-13T00:00:00.000"
